Notable Digital Collections,URL,Number of Digital Items
Television News Archive,https://tvnews.vanderbilt.edu/,1293716
History of Art Image Repository,https://library-artstor-org.proxy.library.vanderbilt.edu/#/collection/37831/, 106259
Institutional Respository,https://ir.vanderbilt.edu/,9687
Fine Arts Gallery,https://vuart.library.vanderbilt.edu/,7113
Art in the Christian Tradition,https://lectionary.library.vanderbilt.edu/,6174
The Nürnberg Krupp Trial Papers of Judge Hu C. Anderson,https://krupp.library.vanderbilt.edu/,6052
"ETD, Electronic Theses & Dissertations",https://ir.vanderbilt.edu/handle/1803/9599,5535
History of Medicine Collection,https://www.library.vanderbilt.edu/specialcollections/history-of-medicine/,5510
Blair Performance Archive,http://diglib.library.vanderbilt.edu/bpa-browse.pl,4955
Helguera Collection of Colombiana,http://helguera.library.vanderbilt.edu/,3093
Manual Zapata Olivella,http://mzo.library.vanderbilt.edu/,2573
Global Music Archive,https://www.globalmusicarchive.org/,1805
Revised Common Lectionary,https://lectionary.library.vanderbilt.edu/,249
