Library,sq. ft,seating,study rooms,permanent employees
Central Library,,668,14,19
Divinity Library,,198,5,7
Annette & Irwin Eskind Family Biomedical Library and Learning Center,"17,313",,10,8
Alyne Queener Massey Law Library,"43,287",418,9,15
Walker Management Library,"10,633",266,22,5
Anne Potter Wilson Music Library,"7,524",86,1,5
Peabody Library,"26,481",289,10,7
Sarah Shannon Stevenson Science & Engineering Library,"20,589",326,3,6
Special Collections and University Archives,,34,1,9
Off Campus Storage Facilities,"76,092",0,0,4
Fine Arts Gallery,,0,0,2
